post_id,title,category,score,num_comments,author,collected_at
47687273,Git commands I run before reading any code,technology,838,182,grepsedawk,2026-04-08 20:36:50
47689174,MegaTrain: Full Precision Training of 100B+ Parameter LLMs on a Single GPU,technology,111,22,chrsw,2026-04-08 20:36:51
47690415,Show HN: We fingerprinted 178 AI models' writing styles and similarity clusters,technology,25,6,nuancedev,2026-04-08 20:36:52
47689237,US cities are axing Flock Safety surveillance technology,technology,213,108,giuliomagnifico,2026-04-08 20:36:57
47679121,Project Glasswing: Securing critical software for the AI era,technology,1411,729,Ryan5453,2026-04-08 20:37:01
47656518,Your File System Is Already A Graph Database,technology,85,37,alxndr,2026-04-08 20:37:06
47689550,"LLM plays an 8-bit Commander X16 game using structured ""smart senses""",technology,7,1,russellharper,2026-04-08 20:37:22
47675625,Cloudflare targets 2029 for full post-quantum security,technology,372,112,ilreb,2026-04-08 20:37:29
47624572,A database of analog cameras that can be 3D printed,technology,144,21,thomasjb,2026-04-08 20:37:34
47672295,Every GPU That Mattered,technology,320,199,jonbaer,2026-04-08 20:38:16
47688712,Ask HN: Should AI credits be refunded on mistakes?,technology,7,5,ed_elliott_asc,2026-04-08 20:38:17
47664836,AI helps add 10k more photos to OldNYC,technology,137,46,evakhoury,2026-04-08 20:38:21
47677241,Taste in the age of AI and LLMs,technology,260,201,speckx,2026-04-08 20:38:32
47675013,Dropping Cloudflare for Bunny.net,technology,401,201,shintoist,2026-04-08 20:38:42
47684506,LLM scraper bots are overloading acme.com's HTTPS server,technology,60,55,mjyut,2026-04-08 20:38:43
47672318,Blackholing My Email,technology,175,34,semyonsh,2026-04-08 20:38:53
47673005,We found an undocumented bug in the Apollo 11 guidance computer code,technology,420,196,henrygarner,2026-04-08 20:38:58
47680023,Tailslayer: Library for reducing tail latency in RAM reads,technology,63,19,hasheddan,2026-04-08 20:38:59
47680532,"Cells for NetBSD: kernel-enforced, jail-like isolation",technology,50,12,akagusu,2026-04-08 20:39:03
47674606,Show HN: Unicode Steganography,technology,25,4,PatrickVuscan,2026-04-08 20:39:10
47682908,AI Assistance Reduces Persistence and Hurts Independent Performance,technology,17,4,dougb5,2026-04-08 20:39:26
47685945,We moved Railway's frontend off Next.js. Builds went from 10+ mins to under two,technology,88,69,bundie,2026-04-08 20:39:29
47660925,Issue: Claude Code is unusable for complex engineering tasks with Feb updates,technology,1317,729,StanAngeloff,2026-04-08 20:39:33
47673541,AI may be making us think and write more alike,technology,226,234,giuliomagnifico,2026-04-08 20:39:43
47677853,GLM-5.1: Towards Long-Horizon Tasks,worldnews,577,233,zixuanlimit,2026-04-08 20:39:45
